Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
John Brodie,2,1,1,0,31548,1957,1973,22,38,158,2469,4491,2022,55,31548,214,224,13,4.8,5,72.3,207,1855,4.66,7,5.73,5.19,12.8,157,,74,76,8,21,22,1,0,973,5,5,71,143,72,49.7,973,4,7,0,2.8,4.9,60.7,5,33,3.38,6.8,5.16,4.76,13.7,194.6,,2,3,0,0,0
Steve McNair,3,0,1,0,31304,1995,2007,22,34,153,2733,4544,1811,60.1,31304,174,119,13,3.8,2.6,82.8,254,1567,5.29,6.9,6.48,5.81,11.5,194.4,45.3,91,62,0,15,21,1,0,1764,10,10,184,311,127,59.2,1764,6,11,2,1.9,3.5,66.7,14,80,4.31,5.7,4.47,4.03,9.6,176.4,42.8,5,5,2,2,0
Norm Snead,4,0,0,0,30797,1961,1976,22,37,159,2276,4353,2077,52.3,30797,196,257,22,4.5,5.9,65.5,350,2735,7.44,7.1,5.32,4.34,13.5,173,,52,100,7,14,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Randall Cunningham,4,1,0,0,29979,1985,2001,22,38,135,2429,4289,1860,56.6,29979,207,134,5,4.8,3.1,81.5,484,3537,10.14,7,6.55,5.14,12.3,186.2,40.8,82,52,1,19,24,0,0,2426,12,9,192,365,173,52.6,2426,12,9,1,3.3,2.5,74.3,28,215,7.12,6.6,6.19,5.21,12.6,202.2,40.5,3,6,2,2,0
Joe Ferguson,0,0,0,0,29817,1973,1990,23,40,171,2369,4519,2150,52.4,29817,196,209,6,4.3,4.6,68.4,312,2710,6.46,6.6,5.38,4.48,12.6,160.3,40.7,79,92,0,20,24,0,0,814,4,4,58,120,62,48.3,814,6,9,0,5,7.5,56,5,71,4,6.8,4.41,3.66,14,203.5,41.4,1,3,0,0,0
Jon Kitna,0,0,0,0,29745,1997,2011,25,39,124,2677,4442,1765,60.3,29745,169,165,17,3.8,3.7,77.4,323,1987,6.78,6.7,5.79,4.98,11.1,211,45,50,74,0,18,22,0,0,359,2,1,38,70,32,54.3,359,2,4,0,2.9,5.7,54.4,10,52,12.5,5.1,3.13,2.09,9.4,179.5,35,0,1,0,0,0
Roman Gabriel,4,1,1,0,29444,1962,1977,22,37,157,2366,4498,2132,52.6,29444,201,149,10,4.5,3.3,74.3,360,2711,7.41,6.5,5.95,4.95,12.4,160.9,,86,64,7,16,15,1,0,336,2,2,33,63,30,52.4,336,3,2,0,4.8,3.2,70.6,8,65,11.27,5.3,4.86,3.39,10.2,168,,0,2,0,0,0
Jake Plummer,1,0,0,0,29253,1997,2006,23,32,136,2484,4350,1866,57.1,29253,161,161,13,3.7,3.7,74.6,284,1735,6.13,6.7,5.8,5.07,11.8,204.6,42.6,69,67,0,20,30,0,0,1340,6,6,122,197,75,61.9,1340,7,10,0,3.6,5.1,72.7,10,48,4.83,6.8,5.23,4.74,11,223.3,44.9,2,4,0,0,0
Brad Johnson,2,0,0,1,29054,1994,2008,26,40,125,2668,4326,1658,61.7,29054,166,122,12,3.8,2.8,82.5,251,1616,5.48,6.7,6.21,5.52,10.9,164.1,43.9,72,53,0,14,27,0,1,1403,8,7,125,224,99,55.8,1403,7,12,2,3.1,5.4,62.8,9,65,3.86,6.3,4.48,4.03,11.2,175.4,43.3,4,3,0,0,0
Rich Gannon,4,2,1,0,28743,1987,2004,22,39,132,2533,4206,1673,60.2,28743,180,104,6,4.3,2.5,84.7,302,1689,6.7,6.8,6.58,5.76,11.3,183.1,45,76,56,0,16,20,1,0,1691,10,7,154,240,86,64.2,1691,11,9,3,4.6,3.8,84.6,18,102,6.98,7,6.28,5.44,11,169.1,49.2,4,3,0,0,0
